Goal,X,Y,C,Distance,Angle
0,25.0,39,11.0,27.206341172601654,0.2584681483042706
0,19.0,29,21.0,24.17281530976481,0.25041398003209947
1,8.0,62,12.0,11.46298390472568,0.48035749383851156
0,23.0,60,10.0,25.009448214624808,0.2811655264820829
0,10.0,33,17.0,15.243113199081087,0.33759032764216496
0,13.0,51,1.0,13.665467427058616,0.5228832076788991
0,11.0,60,10.0,13.253395791267987,0.48035534705157945
0,26.0,47,3.0,27.36955425285549,0.26522874968664184
0,31.0,56,6.0,32.78280799443513,0.22083880351321364
0,26.0,19,31.0,33.930996153959285,0.17384294624143218
0,12.0,23,27.0,21.604686991484048,0.20069901553955638
0,18.0,53,3.0,19.000328944520934,0.3787722941698328
0,18.0,29,21.0,23.313783476733242,0.2552731975395584
0,26.0,31,19.0,29.963519486201882,0.2222206349379769
0,10.0,68,18.0,15.720687007888682,0.31768371181991284
1,16.0,40,10.0,18.013605968822567,0.3764491646534234
0,13.0,44,6.0,14.196214284097012,0.48821070949377143
0,7.0,55,5.0,8.036479328661276,0.8102769720462943
0,28.0,36,14.0,30.77612711177285,0.22651575948751368
0,12.0,58,8.0,13.63084736911099,0.4912343711700846
0,27.0,50,0.0,28.35,0.25678076017614215
0,14.0,56,6.0,15.20855022676389,0.45868567606362104
0,12.0,70,20.0,18.10414317221337,0.28538343785592213
1,9.0,50,0.0,9.45,0.7390235358439743
0,22.0,46,4.0,23.245859846432868,0.31049489894234183
0,20.0,52,2.0,21.040199618824914,0.34385123486521907
0,9.0,53,3.0,9.649093221645233,0.7147531635553958
0,29.0,56,6.0,30.698737759067555,0.23547367773587702
0,14.0,39,11.0,16.346635739503096,0.4009753589018125
0,24.0,56,6.0,25.5,0.28193327288425424
0,18.0,56,6.0,19.298186443290465,0.36780864688627385
0,7.0,54,4.0,7.796313231265146,0.848710701766978
0,22.0,42,8.0,23.678048906107108,0.29967705742481254
0,14.0,47,3.0,14.82877270713932,0.4803789265972236
0,29.0,49,1.0,30.45693681248986,0.23913994080948214
0,27.0,67,17.0,30.42737254512785,0.22363466996702205
0,27.0,19,31.0,34.78138870143054,0.17175366131203756
0,27.0,73,23.0,32.05035101211842,0.20190227402910502
0,6.0,32,18.0,13.28834075421006,0.2754185537241036
0,21.0,38,12.0,23.388939693795443,0.29371069986468024
0,7.0,68,18.0,13.817108959547216,0.29428099981910055
0,22.0,80,30.0,30.23011743278547,0.18562142503361556
0,12.0,33,17.0,16.758952831248138,0.33206626567067177
0,26.0,49,1.0,27.307736998880006,0.26639593140038675
0,7.0,55,5.0,8.036479328661276,0.8102769720462943
0,15.0,26,24.0,22.16805133519859,0.23665937199451775
0,24.0,44,6.0,25.5,0.28193327288425424
0,28.0,57,7.0,29.749999999999996,0.24205180381778696
0,11.0,29,21.0,17.880855684222723,0.2692928913160728
0,14.0,42,8.0,15.592626462530292,0.4380367459389602
0,10.0,59,9.0,12.019671376539376,0.5303396409372801
0,12.0,43,7.0,13.396361446303246,0.5069724665686698
1,11.0,44,6.0,12.190672663967318,0.5587877543959542
0,30.0,54,4.0,31.607119451161633,0.2298123614854746
0,9.0,31,19.0,15.550723455839602,0.29404598468395515
0,11.0,69,19.0,16.909316958410827,0.3008128276935503
0,13.0,67,17.0,17.562032911938186,0.32654703564538545
0,20.0,27,23.0,25.777946000408953,0.23184491459743725
0,19.0,65,15.0,22.20506698931575,0.29553177312558315
0,11.0,35,15.0,15.115058716392735,0.37455292140405577
0,25.0,30,20.0,29.292703869735206,0.22367950828689226
0,17.0,79,29.0,25.960450689462235,0.19528704633703736
0,11.0,65,15.0,15.115058716392735,0.37455292140405577
0,9.0,65,15.0,13.578107379160027,0.3844644915514975
0,27.0,41,9.0,28.947279664935703,0.24655853716809678
0,24.0,56,6.0,25.5,0.28193327288425424
0,23.0,50,0.0,24.15,0.3008164530703536
0,27.0,27,23.0,32.05035101211842,0.20190227402910502
0,9.0,38,12.0,12.253264871045593,0.4683200303619614
1,10.0,58,8.0,11.717081547894082,0.5552607966192705
0,11.0,59,9.0,12.947007376224052,0.5014474542557615
0,18.0,51,1.0,18.911173945580426,0.38214120816966374
0,23.0,65,15.0,26.043905237118338,0.2598638838801138
0,10.0,58,8.0,11.717081547894082,0.5552607966192705
0,27.0,56,6.0,28.616996697766872,0.25213698550662195
0,29.0,93,43.0,41.33285618004156,0.13074994451551472
0,12.0,69,19.0,17.64319982316133,0.30025973949935153
0,18.0,53,3.0,19.000328944520934,0.3787722941698328
0,7.0,67,17.0,13.271209439986997,0.3193088176827172
1,10.0,49,1.0,10.520099809412457,0.6686847657975241
0,4.0,32,18.0,12.431009613060397,0.21448423646990336
0,3.0,39,11.0,7.813129974600448,0.45069259319868493
0,23.0,69,19.0,27.12461981300383,0.24000919087378397
0,10.0,61,11.0,12.703247616259395,0.47905113154716705
0,3.0,61,11.0,7.813129974600448,0.45069259319868493
0,17.0,46,4.0,18.038361899019545,0.3966126372830685
0,26.0,70,20.0,30.23722870899382,0.21828520037858615
0,19.0,76,26.0,26.14598439531394,0.21453745183595782
0,27.0,60,10.0,29.085606405918377,0.24427515281947337
0,19.0,28,22.0,24.545722641633514,0.2429962259943182
1,12.0,34,16.0,16.33768649472746,0.34891490595427527
0,11.0,27,23.0,18.891929493834134,0.24132760305939444
0,11.0,56,6.0,12.190672663967318,0.5587877543959542
0,24.0,52,2.0,25.233509466580347,0.28771963983932014
0,7.0,61,11.0,10.254023600518968,0.530360708962019
0,7.0,37,13.0,11.19933033712284,0.44772227561121114
0,18.0,65,15.0,21.266699320769078,0.30537177937400134
0,14.0,40,10.0,16.072958657322552,0.413920005768173
0,18.0,51,1.0,18.911173945580426,0.38214120816966374
0,23.0,30,20.0,27.426674971640292,0.23485320035665017
0,21.0,68,18.0,24.961820847045594,0.25879487048867217
0,13.0,79,29.0,23.273267926958606,0.18694075110760816
0,4.0,28,22.0,14.904026301640775,0.14623623640329433
